split,source_relative_path,segment_path,segment_seconds
train,Erhu-1/Yi_Zhi_Hua/Yi_Zhi_Hua.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/train/Erhu-1__Yi_Zhi_Hua__Yi_Zhi_Hua__seg01.wav,30.0
train,Erhu-1/Yi_Zhi_Hua/Yi_Zhi_Hua.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/train/Erhu-1__Yi_Zhi_Hua__Yi_Zhi_Hua__seg02.wav,30.0
train,Erhu-1/Yi_Zhi_Hua/Yi_Zhi_Hua.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/train/Erhu-1__Yi_Zhi_Hua__Yi_Zhi_Hua__seg03.wav,30.0
train,Erhu-2/La_Luo_Tuo/La_Luo_Tuo.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/train/Erhu-2__La_Luo_Tuo__La_Luo_Tuo__seg00.wav,30.0
train,Erhu-2/La_Luo_Tuo/La_Luo_Tuo.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/train/Erhu-2__La_Luo_Tuo__La_Luo_Tuo__seg01.wav,29.3926875
train,Erhu-2/Shan_Cun_Bian_Le_Yang/Shan_Cun_Bian_Le_Yang.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/train/Erhu-2__Shan_Cun_Bian_Le_Yang__Shan_Cun_Bian_Le_Yang__seg00.wav,30.0
train,Erhu-2/Xin_Hun_Bie/Xin_Hun_Bie.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/train/Erhu-2__Xin_Hun_Bie__Xin_Hun_Bie__seg00.wav,30.0
train,Erhu-2/Xin_Hun_Bie/Xin_Hun_Bie.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/train/Erhu-2__Xin_Hun_Bie__Xin_Hun_Bie__seg01.wav,30.0
train,Erhu-2/Xin_Hun_Bie/Xin_Hun_Bie.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/train/Erhu-2__Xin_Hun_Bie__Xin_Hun_Bie__seg02.wav,20.8808125
train,Erhu-2/Yimeng_Shan_Xiao_Diao/Yimeng_Shan_Xiao_Diao.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/train/Erhu-2__Yimeng_Shan_Xiao_Diao__Yimeng_Shan_Xiao_Diao__seg00.wav,30.0
train,Erhu-2/Zhu_Ying_Yao_Hong/Zhu_Ying_Yao_Hong.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/train/Erhu-2__Zhu_Ying_Yao_Hong__Zhu_Ying_Yao_Hong__seg00.wav,30.0
train,Erhu-3/Henan_Xiao_Qu/Henan_Xiao_Qu.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/train/Erhu-3__Henan_Xiao_Qu__Henan_Xiao_Qu__seg00.wav,30.0
train,Erhu-3/Henan_Xiao_Qu/Henan_Xiao_Qu.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/train/Erhu-3__Henan_Xiao_Qu__Henan_Xiao_Qu__seg01.wav,30.0
train,Erhu-3/Xian_Ju_Yin/Xian_Ju_Yin.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/train/Erhu-3__Xian_Ju_Yin__Xian_Ju_Yin__seg00.wav,30.0
train,Erhu-3/Xian_Ju_Yin/Xian_Ju_Yin.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/train/Erhu-3__Xian_Ju_Yin__Xian_Ju_Yin__seg01.wav,30.0
val,Erhu-1/Jiangnan_Chun_Se/Jiangnan_Chun_Se.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/val/Erhu-1__Jiangnan_Chun_Se__Jiangnan_Chun_Se__seg00.wav,30.0
val,Erhu-1/Jiangnan_Chun_Se/Jiangnan_Chun_Se.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/val/Erhu-1__Jiangnan_Chun_Se__Jiangnan_Chun_Se__seg01.wav,30.0
val,Erhu-1/Jiangnan_Chun_Se/Jiangnan_Chun_Se.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/val/Erhu-1__Jiangnan_Chun_Se__Jiangnan_Chun_Se__seg02.wav,24.9849375
test,Erhu-1/Jiang_He_Shui/Jiang_He_Shui.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/test/Erhu-1__Jiang_He_Shui__Jiang_He_Shui__seg00.wav,30.0
test,Erhu-1/Jiang_He_Shui/Jiang_He_Shui.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/test/Erhu-1__Jiang_He_Shui__Jiang_He_Shui__seg01.wav,30.0
test,Erhu-2/Bei_Ge/Bei_Ge.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/test/Erhu-2__Bei_Ge__Bei_Ge__seg00.wav,30.0
test,Erhu-2/Bei_Ge/Bei_Ge.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/test/Erhu-2__Bei_Ge__Bei_Ge__seg01.wav,30.0
test,Erhu-2/Xi_Song_Gong_Liang/Xi_Song_Gong_Liang.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/test/Erhu-2__Xi_Song_Gong_Liang__Xi_Song_Gong_Liang__seg00.wav,30.0
test,Erhu-2/Xi_Song_Gong_Liang/Xi_Song_Gong_Liang.wav,/content/drive/MyDrive/MScProject/erhu_lora_runs/20260814T184844Z/dataset/test/Erhu-2__Xi_Song_Gong_Liang__Xi_Song_Gong_Liang__seg01.wav,30.0
